TITLE,AUTHORS,VENUE,BIBTEX,YEAR,PROJECTS_EXACT,PROJECT_CATEGORIES,NODES_EXACT,NODES_CATEGORIES,DATASOURCES,CITATIONS,CATEGORY,SUBCATEGORY
Empirical study on developer factors affecting tossing path length of bug reports,Hongrun Wu;Haiyang Liu;Yutao Ma,IET Software,wu2018empirical,2018,2,2-5,11829,10001-100000,ITS,3,Prediction,Bug Triage
Empirical Study on the Evolution of Developer Social Networks,Mohamed Abdelrahman Aljemabi;Zhongjie Wang,IEEE Access,aljemabi2018empirical,2018,4,2-5,At most 1615 (Networks for projects at different times),1001-10000,Forge,0,Community Structure,DSN Evolution
Empirical Study on the Similarity and Difference between VCS-DSN and BTS-DSN,Mohammed A. Aljemabi;Zhongjie Wang,ICMSS,aljemabi2017empirical,2017,50,11-100,445,101-1000,ITS;VCS,2,DSN Validity,DSN Validity
Evolution of developer collaboration on the jazz platform: a study of a large scale agile project,Subhajit Datta;Renuka Sindhgatta;Bikram Sengupta,ISEC,datta2011evolution,2011,1,1,106,101-1000,ITS;VCS,16,Community Structure,DSN Evolution
Evolution of developer social network and its impact on bug fixing process,Amit Kumar;Avdhesh Gupta,ISEC,kumar2013evolution,2013,1,1,33760,10001-100000,ITS,19,Community Structure,DSN Evolution
Evolution of Open Source Communities,Michael Weiss;Gabriella Moroiu;Ping Zhao,OSS,weiss2006evolution,2006,26,11-100,100-1000,101-1000,ML,49,Community Structure,DSN Evolution
Evolutionary trends of developer coordination: a network approach,Mitchell Joblin;Sven Apel;Wolfgang Mauerer,EMSE,joblin2017evolutionary,2017,18,11-100,281,101-1000,VCS,28,Community Structure,DSN Evolution
Evolving relationships between social networks and stakeholder involvement in software projects,Soo Ling Lim;Peter John Bentley,GECCO,lim2011evolving,2011,1,1,127,11-100,Survey,10,Community Structure,General
Experiences with agile practices in the global studio project,Roger Urdangarin;Paulo Fernandes;Alberto Avritzer;Daniel Paulish,ICGSE,urdangarin2008experiences,2008,1,1,12,11-100,Survey,24,Collaboration Behavior,Global SWE
Exploration of the Open Source Software Community,Jin Xu;Gregory Madey,NAACSOS ,xu2004exploration,2004,Missing,Missing,Missing,Missing,Forge,31,Community Structure,General
Exploring Collaboration Networks in Open-Source Projects,Andrejs Jermakovics;Alberto Sillitti;Giancarlo Succi,OSS,jermakovics2013exploring,2013,3,2-5,130,101-1000,VCS,13,Community Structure,General
Exploring computer supported collaborative coordination through social networks,Szabolcs Feczak;Liaquat Hossain,The Journal of High Technology Management Research,feczak2011exploring,2011,483,>100,Missing,Missing,ITS,6,Collaboration Behavior,General
"Exploring software developers’ work practices: Task differences, participation, engagement, and speed of task resolution",Sherlock A. Licorish;Stephen G. MacDonell,Information & Management,licorish2017exploring,2017,1,1,474,101-1000,ITS,17,Collaboration Behavior,General
Exploring the patterns of social behavior in GitHub,Yue Yu;Gang Yin;Huaimin Wang;Tao Wang,CrowdSoft,yu2014exploring,2014,Missing,Missing,1838805,>100000,Forge,52,Community Structure,DSN Evolution
Exploring the relationship between dependencies and coordination to support global software development projects,Sebastiao B. Fonseca;Cleidson R. B. de Souza;David F. Redmiles,ICGSE,fonseca2006exploring,2006,NA,NA,NA,NA,ML;VCS,22,Collaboration Behavior,Global SWE
File-level socio-technical congruence and its relationship with bug proneness in OSS projects,Weiqiang Zhang;Shing-Chi Cheung;Zhenyu Chen;Yuming Zhou;Bin Luo,JSS,zhang2019file,2019,5,2-5,>1600,1001-10000,ITS;VCS,0,Prediction,Defect Prediction
Fine-grained incremental learning and multi-feature tossing graphs to improve bug triaging,Pamela Bhattacharya;Iulian Neamtiu,ICSM(E),bhattacharya2010fine,2010,2,2-5,Missing,Missing,ITS,113,Prediction,Bug Triage
From Developer Networks to Verified Communities: A Fine-Grained Approach,Mitchell Joblin;Wolfgang Mauerer;Sven Apel;Janet Siegmund;Dirk Riehle,ICSE,joblin2015developer,2015,10,6-10,174,101-1000,VCS,41,Community Structure,General
From Periphery to Core: A Temporal Analysis of GitHub Contributors’ Collaboration Network,Ikram El Asri;Noureddine Kerzazi;Lamia Benhiba;Mohammed Janati,PRO-VE,el2017periphery,2017,5,2-5,1685,1001-10000,Forge,4,Developer Roles,Onboarding
From Technical Dependencies to Social Dependencies,Cleidson R. B. de Souza;Paul Dourish;David F. Redmiles;Stephen Quirk;Erik Trainer,CSCW,de2004technical,2004,NA,NA,NA,NA,VCS,23,Tools,Tools
GitHub developers use rockstars to overcome overflow of news,Michael J. Lee;Bruce Ferwerda;Junghong Choi;Jungpil Hahn;Jae Y. Moon;Jinwoo Kim,CHI,lee2013github,2013,"5,657",>100,Missing,Missing,Forge,32,Developer Roles,Identification
Global Software Development and Delay: Does Distance Still Matter?,Thanh H.D. Nguyen;Timo Wolf;Daniela Damian,ICGSE,nguyen2008global,2008,1,1,112,101-1000,ITS,118,Collaboration Behavior,Global SWE
Global Software Development in the FreeBSD Project,Diomidis Spinellis,GSD,spinellis2006global,2006,1,1,292,101-1000,ITS;VCS,59,Community Structure,Global SWE
Going Farther Together: The Impact of Social Capital on Sustained Participation in Open Source,Huilian Sophie Qiu;Alexander Nolte;Anita Brown;Alexander Serebrenik;Bogdan Vasilescu,ICSE,qiu2019going,2019,Missing,Missing,58091,10001-100000,Forge,18,Community Structure,General
Graph-based analysis and prediction for software evolution,Pamela Bhattacharya;Marios Iliofotou;Iulian Neamtiu;Michalis Faloutsos,ICSE,bhattacharya2012graph,2012,10,6-10,Missing,Missing,ITS;VCS,193,Prediction,Defect Prediction
